lane_id,x,y,z,lane_type
3,-32.72474209923038,25.295260676180376,0.0,0
3,39.10539817695542,26.00834306393675,0.0,0
4,-33.670833105907604,4.794142028184581,0.0,0
4,-16.64119498571766,4.883277326654124,0.0,0
4,-16.64119498571766,4.883277326654124,0.0,0
4,-8.490257082036997,-0.10829938764049984,0.0,0
4,-3.7598020486509043,-4.565064311117844,0.0,0
4,-2.158724960427918,-16.330923709098037,0.0,0
4,-2.013172497862186,-41.28880728057118,0.0,0
5,38.52318832669252,5.239818520532324,0.0,0
5,38.52318832669252,5.239818520532324,0.0,0
5,26.660662627585836,4.615871431245495,0.0,0
5,19.383039499299542,4.259330237367308,0.0,0
5,14.725360697196308,-3.4954407294832777,0.0,0
5,12.905954915124724,-9.824046920821111,0.0,0
5,12.614849989993274,-16.152653112158944,0.0,0
5,12.905954915124724,-41.645348474449364,0.0,0
