cx,cy,length,yaw_deg
-34.398595418736235,27.88018433179724,2.0,0.0
-31.924203555118893,28.682402018023154,2.0,0.0
-29.44981169150155,27.25623724251041,2.0,0.0
-26.53876244018703,27.612778436388595,2.0,0.0
-22.97272710732674,27.96931963026678,2.0,0.0
-20.352782781143674,27.79104903332768,2.0,0.0
-16.71397121700052,28.949807913431798,2.0,0.0
-13.439040809271688,27.612778436388595,2.0,0.0
-10.309662864108574,27.612778436388595,2.0,0.0
-7.325837381511192,28.59326671955361,2.0,0.0
-4.560340592762394,27.701913734858138,2.0,0.0
-0.7032003347706564,27.88018433179724,2.0,0.0
2.790058766806766,28.236725525675425,2.0,0.0
6.356094099667061,27.96931963026678,2.0,0.0
9.558248276113034,27.612778436388595,2.0,0.0
13.124283608973315,28.058454928736325,2.0,0.0
15.598675472590656,27.612778436388595,2.0,0.0
18.58250095518804,27.88018433179724,2.0,0.0
22.221312519331192,28.325860824144968,2.0,0.0
23.967942070119904,28.41499612261451,2.0,0.0
26.806215090151568,27.701913734858138,2.0,0.0
28.916725797354587,27.79104903332768,2.0,0.0
31.82777504866911,27.523643137919052,2.0,0.0
34.374943143569325,27.523643137919052,2.0,0.0
38.232083401561056,27.88018433179724,2.0,0.0
